State Name,Year,Poverty Rate,All-Reported Spending per Child (2022 Dollars),State Spending per Child (2022 Dollars),Total All-Reported Spending (2022 Dollars),Total State Pre-K Spending (2022 Dollars),Number of 3-year-olds Enrolled in State Pre-K,Number of 4-year-olds Enrolled in State Pre-K,Percentage of 3-year-olds Enrolled in State Pre-K,Percentage of 4-year-olds Enrolled in State Pre-K,Total State Pre-K Enrollment,Assistant Teacher Degree Benchmark,Continuous Quality Improvement System Benchmark,Curriculum Supports Benchmark,Early Learning & Development Standards Benchmark,Maximum Class Size Benchmark,Meals Benchmark,Monitoring Benchmark,Screening & Referral Benchmark,Staff Professional Development Benchmark,Staff to Child Ratio Benchmark,Teacher Degree Benchmark,Teacher Specialized Training Benchmark,Quality Standards Met,3 Year Old Program,4 Year Old Program
Arizona,2008.0,18.0,3323.3590101133864,3323.3590101133864,17949462.0136224,17949462.0136224,0.0,5401.0,0.0,0.05599096017084448,5401.0,No,Yes,,Yes,Yes,No,,No,No,No,No,No,3,No,Yes
Arizona,2009.0,21.2,3125.9692666219435,3125.9692666219435,17027154.595289726,17027154.595289726,0.0,5447.0,0.0,0.054823612299330686,5447.0,No,Yes,,Yes,Yes,No,,No,No,No,No,No,3,No,Yes
Arizona,2010.0,18.8,1517.7618700133542,159.07916406759148,6555213.5165876765,687062.9096079275,0.0,4319.0,0.0,0.04751688780337536,4319.0,No,Yes,,Yes,Yes,No,,No,No,No,No,No,3,No,Yes
Arizona,2011.0,17.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,No program,No program,,No program,No program,No program,,No program,No program,No program,No program,No program,0,No,No
Arizona,2012.0,19.0,4590.271869758247,3825.226419895571,14532800.73965461,12110666.845389377,284.94,2881.06,0.0030727588400858395,0.03085010011885768,3166.0,No,Yes,,Yes,Yes,No,,No,Yes,Yes,Yes,No,6,Yes,Yes
Arizona,2013.0,17.8,2583.2373469548734,2583.2373469548734,16832374.552757956,16832374.552757956,2085.12,2932.2000000000003,0.023372378465021913,0.0316044751988618,6516.0,No,No,,Yes,Yes,No,,No,Yes,Yes,No,No,4,Yes,Yes
Arizona,2014.0,21.2,1907.002434331977,1907.002434331977,15212158.41866618,15212158.41866618,1084.0,6117.0,0.012294291773939278,0.06876974446030872,7977.0,No,Yes,,Yes,Yes,No,,No,Yes,Yes,Yes,No,6,Yes,Yes
Arizona,2015.0,17.2,3739.091244694546,3739.091244694546,27026151.516652178,27026151.516652178,2378.0,4850.0,0.02785587105238497,0.05465712514791232,7228.0,No,Yes,,Yes,No,No,,No,Yes,No,No,No,3,Yes,Yes
Arizona,2016.0,16.1,4204.8157717600025,4204.8157717600025,22558836.61549241,22558836.61549241,1602.0,3763.0,0.01874276087185427,0.043651760338727454,5365.0,No,No,Yes,Yes,No,,,No,No,No,No,No,2,Yes,Yes
Arizona,2017.0,13.2,4346.386997235402,4346.386997235402,22970655.2803891,22970655.2803891,1843.0,3442.0,0.020991366545934986,0.039095421451369246,5285.0,No,Yes,Yes,Yes,No,,,No,No,No,No,No,3,Yes,Yes
Arizona,2018.0,12.8,4747.308558578547,4747.308558578547,24951853.78388884,24951853.78388884,1933.0,3323.0,0.021828981841178065,0.0376403158025894,5256.0,No,Yes,Yes,Yes,No,,,No,No,No,No,No,3,Yes,Yes
Arizona,2019.0,9.9,4528.396576500566,4528.396576500566,24498625.478868064,24498625.478868064,1986.0,3424.0,0.022072307367438346,0.038052054855415525,5410.0,No,Yes,Yes,Yes,No,,,No,No,No,No,No,3,Yes,Yes
Arizona,2020.0,10.9,4113.121604353097,4113.121604353097,21454042.288305752,21454042.288305752,1712.0,2887.0,0.019412191582002903,0.03176856375720762,5216.0,No,Yes,Yes,Yes,No,,,No,No,No,No,No,3,Yes,Yes
Arizona,2021.0,12.6,4324.978801139115,4324.978801139115,15699673.048134986,15699673.048134986,1358.0,1821.0,0.015586263887613626,0.020403361344537817,3630.0,No,Yes,Yes,Yes,No,,,No,No,No,No,No,3,Yes,Yes
Arizona,2022.0,12.7,4176.806652806653,4176.806652806653,20090440,20090440,1720.0,2521.0,0.020926356259048824,0.029748418767110357,4810.0,No,Yes,Yes,Yes,No,,,No,No,No,No,No,3,Yes,Yes
Arkansas,2002.0,19.8,,3816.4163631824254,,12082774.205835558,942.0,2224.0,0.02588054288697181,0.06071194583970299,3166.0,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2003.0,17.8,9119.88033214666,5471.928080979684,28143950.705004595,16886370.057903305,848.0,2238.0,0.023504628859692886,0.061380653300787145,3086.0,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2004.0,15.1,8803.72865662199,6290.958096704349,27326773.750154655,19527133.9321703,863.0,2202.0,0.023574082167832168,0.060602724645658454,3104.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2005.0,13.8,7865.949538686048,7865.949538686048,73279185.90239923,73279185.90239923,3018.0,4462.0,0.08074700342465753,0.12233707125819099,9316.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2006.0,17.7,12292.923787911264,7651.481992702795,145302359.17311114,90440517.15374704,3886.0,6777.0,0.10586248229268824,0.18187429552895712,11820.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2007.0,13.8,10906.491746090955,6543.7169366920625,148513698.10652053,89105793.52693582,4068.0,8148.0,0.10751096781013796,0.21440412599005343,13617.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2008.0,15.3,11450.05312733197,7064.758281029811,216062502.51275426,133311988.76303253,6896.0,10880.0,0.17643145883436526,0.28126777312445067,18870.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2009.0,18.9,11683.665068604274,7541.2168415468195,239234725.9447411,154413956.04751268,2345.0,17018.0,0.058998163383400005,0.43722220794902755,20476.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2010.0,15.3,11649.552521083126,7519.1989116965515,238850775.3397673,154166135.2865144,3481.0,16583.0,0.08778433449336763,0.41947233956441454,20503.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2011.0,18.7,10950.22325610537,6766.970381025281,242054685.0762092,149583880.27256384,4117.0,17470.0,0.10080556303714405,0.44056085136430123,22105.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2012.0,20.1,11492.872592070169,7102.314409897885,235833745.58927986,145739491.6911046,4484.0,15284.0,0.1115034565076839,0.37442430181283687,20520.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2013.0,13.9,7025.589707818827,7025.589707818827,141418095.22868517,141418095.22868517,5503.0,13240.0,0.1414762063912384,0.32957458989868815,20129.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2014.0,18.4,6852.3554192096635,6852.3554192096635,137204712.5588351,137204712.5588351,4898.0,14632.0,0.1278617485054951,0.3774831020071204,20023.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2015.0,16.1,6539.774672974152,6539.774672974152,134961329.92616758,134961329.92616758,6555.0,13300.0,0.17034380603414673,0.34793072777690576,20637.0,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,9,Yes,Yes
Arkansas,2016.0,16.0,9490.62432808627,6681.214576699993,195108254.93679756,137352409.26779845,7127.0,12314.0,0.18431260991000312,0.32022676444583137,20558.0,Yes,No,Yes,Yes,Yes,,,Yes,No,Yes,No,Yes,7,Yes,Yes
Arkansas,2017.0,14.8,9317.180495047598,6625.083277090867,188999006.34204054,134389814.27578825,7026.0,12094.0,0.1851724955854835,0.31394232017236456,20285.0,Yes,Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,Yes,8,Yes,Yes
Arkansas,2018.0,15.9,10621.581875678621,6474.894429814667,218995775.1127418,133499373.3539188,7237.0,12261.0,0.1889556135770235,0.32356899691235846,20618.0,Yes,Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,Yes,8,Yes,Yes
Arkansas,2019.0,14.1,10529.56951220936,6331.5940502525855,212549890.17345813,127809557.49839869,7071.0,12256.0,0.18182987039703766,0.3189756135647919,20186.0,Yes,Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,Yes,8,Yes,Yes
Arkansas,2020.0,14.1,10072.93593442451,6299.001707103194,203443087.06757182,127220937.47836322,6651.0,12784.0,0.17226107226107226,0.3284602142802086,20197.0,Yes,Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,Yes,8,Yes,Yes
Arkansas,2021.0,16.8,13569.949001105382,9217.712793473534,235099366.44415075,159696874.146929,5879.0,10421.0,0.1563605415037634,0.26870713217472025,17325.0,Yes,Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,Yes,8,Yes,Yes
Arkansas,2022.0,16.6,11085.745300308949,7201.953238728596,211704478,137535701,6473.0,11055.0,0.1742301894918174,0.2925144868097267,19097.0,Yes,Yes,Yes,Yes,Yes,,,Yes,No,Yes,No,Yes,8,Yes,Yes
California,2002.0,13.1,,5796.874071519797,,451054771.5049554,10924.0,44534.0,0.021653551111023014,0.0850819124038783,77810.0,No,,,No,No,No,Yes,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2003.0,13.1,6054.707912738413,6054.707912738413,455501730.98322356,455501730.98322356,10652.0,43058.0,0.02179994883601944,0.08675136701199586,75231.0,No,,,No,No,No,Yes,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2004.0,13.2,6069.476321446966,6069.476321446966,472484453.7193605,472484453.7193605,23964.0,51575.0,0.0481244439803277,0.10553120613523545,77846.0,No,Yes,,No,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2005.0,13.2,5372.60612333026,5372.60612333026,441477790.36629415,441477790.36629415,24481.0,54852.0,0.046162171947066524,0.10897777212654867,82172.0,No,Yes,,No,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2006.0,12.2,5286.58163484217,5286.58163484217,420922916.3477684,420922916.3477684,24156.0,52849.0,0.0454048201739052,0.09865115098298352,79621.0,No,Yes,,No,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2007.0,12.7,5284.127127530533,5284.127127530533,447385907.37950003,447385907.37950003,26318.0,56254.0,0.04960082624068029,0.10796877669038292,84666.0,No,Yes,,No,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2008.0,14.6,5176.4830428863215,5176.4830428863215,478607269.1791835,478607269.1791835,27035.0,63758.0,0.05212540947415709,0.12381276033828198,92458.0,No,Yes,,No,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2009.0,15.3,5121.374663557903,5121.374663557903,501628405.54616946,501628405.54616946,28796.0,65825.0,0.05425673027644629,0.12591531298539324,97948.0,No,Yes,,No,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2010.0,16.3,7737.311610885408,7514.3360137155005,1138816209.4481688,1105997546.178716,52172.0,92255.0,0.10292202924396537,0.18261988419854505,147185.0,No,Yes,,No,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2011.0,16.9,7314.469464980426,6719.335242276003,1095385689.1976087,1006260768.5422851,52037.0,95376.0,0.10072762678301468,0.18815248526359812,149756.0,No,No,,No,No,No,,No,Yes,Yes,No,Yes,3,Yes,Yes
California,2012.0,15.9,6655.07692359485,5431.048443278414,958304456.689964,782049251.6383185,48175.0,93866.0,0.09324873361735404,0.18106308447270145,143996.0,No,No,,Yes,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2013.0,15.1,6893.746980172421,5785.8427588451705,893271052.4498018,749712147.1628807,47463.0,79474.0,0.09540320684061676,0.1538419845333385,129577.0,No,No,,Yes,No,No,,No,Yes,Yes,No,Yes,4,Yes,Yes
California,2014.0,15.8,4336.445407405983,3741.501462611498,815147661.902547,703312478.935859,43055.0,144287.0,0.08589783235408541,0.2899570953447947,187976.0,NA - Program level only,NA - Program level only,,NA - Program level only,NA - Program level only,NA - Program level only,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
California,2015.0,13.9,7678.387926243256,7104.7906448804315,1612223434.4853702,1491785786.9148993,42568.0,165068.0,0.08342413671461608,0.32896226264687595,209969.0,NA - Program level only,NA - Program level only,,NA - Program level only,NA - Program level only,NA - Program level only,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
California,2016.0,13.9,8105.532456920145,7824.249201083498,1814998933.2860157,1752013705.3558178,42354.0,178821.0,0.08511638843169528,0.3497639175217403,223921.0,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
California,2017.0,12.4,7871.09957420866,7657.978881406652,1854832485.7618449,1804610381.382359,54454.0,181112.0,0.10927911186388976,0.3658990904646267,235651.0,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
California,2018.0,11.9,9175.63341572974,8964.602841196793,2223228449.731069,2172096374.613459,57043.0,184816.0,0.11470494789886226,0.37142971984404516,242297.0,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
California,2019.0,10.1,8753.66680743091,8558.772688546913,2150023119.2403355,2102154395.1247616,57447.0,187565.0,0.11528018863191693,0.37807596794220566,245614.0,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
California,2020.0,11.1,8968.640842889385,8961.042585127758,2177325906.069099,2175481269.434051,56238.0,182391.0,0.11574129336851248,0.36831933893109425,242771.0,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
California,2021.0,11.9,13672.58409508693,13661.18957093441,2148044996.842727,2146254848.7312214,21444.0,132559.0,0.045096748550506716,0.2748698318960065,157106.0,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
California,2022.0,11.2,12237.658242205996,12228.556845837877,2222530064,2220877123,31392.0,147351.0,0.06940081224064784,0.3147342025221284,181614.0,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,,,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,NA - Program level only,0,Yes,Yes
Colorado,2002.0,9.8,,2917.4413703519012,,29320285.77203661,730.0,8320.0,0.012410744644678682,0.13970279573503483,10050.0,No,,,No,Yes,No,Yes,No,No,Yes,No,Yes,4,Yes,Yes
Colorado,2003.0,9.7,5228.927954670965,3116.9482714659025,57115580.04887095,34046425.969222054,906.0,8459.0,0.014568961358483285,0.1380340067230182,10923.0,No,,,No,Yes,No,Yes,No,No,Yes,No,Yes,4,Yes,Yes
Colorado,2004.0,10.0,5270.8054615835335,3205.487222079287,47084105.1883257,28634617.354834273,977.0,7040.0,0.015070416017523023,0.1122270046229874,8933.0,No,Yes,,No,Yes,No,,No,No,Yes,No,Yes,4,Yes,Yes
Colorado,2005.0,11.4,5138.208887898377,3168.475697511004,45257343.8846089,27907933.943676922,873.0,7037.0,0.012640632466009296,0.1072746120308546,8808.0,No,Yes,,No,Yes,No,,No,No,Yes,No,Yes,4,Yes,Yes
